B  E  E  T  .  .  W  H  O  .  .  M  I  N  E
L  I  A  R  .  P  E  R  K  S  .  I  M  A  M
O  T  T  O  .  A  R  L  E  N  .  O  M  E  N
-  -  -  -  -  -  -  -  -  -  -  -  -  -  -
P  E  N  .  O  T  S  .  F  B  I  .  N  E  T
O  R  D  E  R  .  M  A  Y  .  S  M  O  R  E
-  -  -  -  -  .  I  R  S  .  H  E  R  D  S
C  O  S  Y  .  -  -  -  -  -  .  S  P  O  T
.  -  -  -  -  -  -  -  -  -  -  -  -  -  .
.  .  .  .  -  -  -  .  E  A  R  .  .  .  .
.  S  A  R  A  H  .  .  .  S  I  E  V  E  .
-  -  -  -  -  -  -  -  -  -  -  -  -  -  -
H  O  L  A  .  R  E  L  I  C  .  E  L  S  A
E  V  E  R  .  M  A  L  T  A  .  L  O  S  S
M  E  N  D  .  S  H  E  E  N  .  T  R  E  E
