B  E  E  T  .  .  W  H  O  .  .  D  I  B  S
L  I  A  R  .  B  O  O  N  S  .  I  M  A  M
O  T  T  O  .  A  R  L  E  N  .  O  H  N  O
W  -  A  T  D  I  D  I  D  O  W  R  -  A  G
P  E  N  .  O  T  S  .  A  S  B  .  N  N  T
O  R  D  E  R  .  M  A  Y  .  S  M  O  E  E
P  E  R  C  H  .  I  A  S  .  H  E  R  R  S
S  N  U  G  .  -  T  E  A  T  .  S  -  D  T
.  E  N  O  U  G  H  A  L  R  E  A  D  Y  .
.  .  .  .  H  E  S  .  E  A  R  .  .  .  .
.  S  A  M  D  A  .  .  .  S  I  E  V  I  .
T  H  E  W  H  O  L  E  S  H  E  B  A  N  G
H  O  L  A  .  R  E  L  I  C  .  E  L  S  A
E  V  E  R  .  M  A  L  T  A  .  R  O  U  T
M  E  N  D  .  S  H  E  E  N  .  T  R  E  E
