E  -  M  S  .  -  R  I  T  .  O  B  A  M  A
C  -  A  T  .  H  A  N  A  .  U  L  N  A  R
H  -  T  E  -  A  T  C  H  .  T  U  N  I  C
O  -  E  N  -  T  E  .  I  N  S  E  A  M  S
.  .  .  T  -  E  .  A  T  O  M  S  .  .  .
-  D  -  .  -  L  O  R  I  D  A  K  E  Y  S
-  E  -  .  .  -  A  -  .  .  R  Y  D  E  R
-  L  -  .  G  E  T  L  O  S  T  .  -  A  -
-  H  -  R  A  .  .  E  K  E  .  .  E  S  L
-  I  -  E  G  L  A  S  S  -  S  .  S  T  Y
.  .  .  C  O  I  N  S  .  -  A  S  .  .  .
A  L  B  E  R  T  A  .  I  S  R  A  E  L  -
L  U  R  I  D  .  -  -  C  -  -  -  -  -  -
A  G  A  V  E  .  O  R  E  -  .  -  -  -  -
S  E  D  E  R  .  G  R  E  -  .  E  T  O  N
